"stage","R2","lower","upper","n_valid","B","bootstrap_pool","dataset_id","dataset_label"
"coarse",0,0.697635093003505,1.09050886381877,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.1,0.489556579910416,1.27850976340351,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.2,0.369550601041681,1.40925208756939,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.3,0.241056674344468,1.5072904406343,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.4,0.128013343367872,1.60942694646664,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.5,0.00251565021423159,1.72523305750902,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.6,-0.179304984177551,1.88182785915229,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.7,-0.424257035109961,2.10683640595867,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.8,-0.806493397538334,2.46320730966833,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.9,-1.66036191044946,3.23895873199625,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"fine",0.52,-0.0881933544384964,1.9157485976477,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.54,-0.126567177875854,1.95386876617813,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.56,-0.166776725495002,1.99381252456532,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.58,-0.209063084157871,2.03581936606231,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.6,-0.253705900865954,2.08016708917527,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.62,-0.301032662195362,2.12718101576044,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.64,-0.351430711594812,2.17724592888666,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.66,-0.405363042637554,2.23082176169218,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.68,-0.463389383053416,2.28846454204915,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"coarse",0,0.724303567019587,1.12405226050065,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.1,0.608840402940487,1.28981526325744,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.2,0.553916252748565,1.38021666305883,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.3,0.47358660766883,1.46525515206191,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.4,0.388560738327607,1.55689043087396,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.5,0.276826760873338,1.66798883159827,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.6,0.118701150230919,1.80468983195607,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.7,-0.0327382009929518,1.99988064837798,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.8,-0.330533408605311,2.31754071438094,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.9,-0.992551939351874,2.9795592451275,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.62,0.0480590353747717,1.98221504262642,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.64,0.00843074164168489,2.01682330003477,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.66,-0.0339765793110024,2.05385854281898,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.68,-0.0724561848920798,2.09370513508806,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.7,-0.111870114225601,2.1368335299575,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.72,-0.154816674484526,2.18382747957002,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.74,-0.201968030536137,2.23542249526144,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.76,-0.254185918618189,2.29256152540973,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.78,-0.312597353480622,2.35647779740383,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0,0.755652997981971,1.08543029226456,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.1,0.530984648589323,1.27720948140749,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.2,0.384136124762866,1.38169479021429,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.3,0.27694661856753,1.49158769815551,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.4,0.165131919787821,1.58679719093121,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.5,0.0383523191197821,1.71896779096257,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.6,-0.116920346595472,1.90236875141143,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.7,-0.339412903304811,2.14852524371581,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.8,-0.679544911479953,2.5326410812783,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.9,-1.44738284255964,3.3456280666056,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"fine",0.52,0.0221509660094967,1.86156763643491,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.54,-0.00973884285096934,1.8919346699392,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.56,-0.0431541940742755,1.92375439938932,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.58,-0.0782954381404381,1.9572045276663,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.6,-0.115394970172674,1.99246167411223,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.62,-0.154724941428821,2.02983849479792,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.64,-0.196607246039734,2.06964089839365,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.66,-0.2414266456797,2.11531068191878,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.68,-0.289648291035288,2.16693086613112,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"coarse",0,1.04389235753811,1.41582739910078,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.1,0.846741535140231,1.66469216470866,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.2,0.750383919544179,1.75837367664678,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.3,0.654019288678135,1.87623756598407,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.4,0.51989272804603,2.00219971136984,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.5,0.415086846792553,2.14502020514732,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.6,0.293859529224351,2.31993887243089,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.7,0.0485904878398792,2.55559246829917,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.8,-0.350120370360359,2.93597723963896,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.9,-1.19399793782133,3.85794496093605,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.72,-0.136354652286324,2.51547619893572,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.74,-0.203109669266113,2.57375638184191,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.76,-0.27703768104483,2.63829891726901,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.78,-0.359734270338834,2.71049682190339,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
