"Z","Y","gender","age","income","income.missing","race","education","smoking.ever","smoking.now","location_region","hidden_confounder","Y0","Y1","true_unit_ATT","dataset_id","dataset_label","scenario_order","scenario_class","omitted_confounding_strength","ps","w"
1,2.38651044466827,"Male",32,54507,0,"Other","<HS","Never",0,"South",0.795862679588031,1.48651044466827,2.38651044466827,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.154777912503064,1
0,3.40836615322266,"Male",31,40720,0,"White","HS","Never",0,"Inland",0.704620520323867,3.40836615322266,4.30836615322266,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.174134991588389,0.722426111426152
0,1.70091961222717,"Female",42,46602,0,"White","Some college","Never",0,"South",-1.40674494960831,1.70091961222717,2.60091961222717,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.137659307945797,0.54694436584953
0,2.3513569939979,"Female",49,57894,0,"White","College+","Never",0,"Coastal",0.589736373420305,2.3513569939979,3.2513569939979,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.188188975530511,0.794247185176261
1,4.89269896910667,"Male",50,54305,1,"White","HS","Never",0,"Inland",0.520381559136355,3.99269896910667,4.89269896910667,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.212232682241651,1
1,5.56206456001983,"Female",58,105115,0,"Other","Some college","Ever",9,"South",0.0587051251753095,4.66206456001983,5.56206456001983,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.28096573543488,1
0,3.75039788407092,"Male",45,54305,1,"White","College+","Ever",9,"Inland",-1.41266151076797,3.75039788407092,4.65039788407092,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.185752864621456,0.781620122866292
0,1.98702377890029,"Male",59,54305,1,"Other","Some college","Never",0,"Coastal",1.13950455351698,1.98702377890029,2.88702377890029,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.19078934568705,0.807809539529013
0,3.05924021559141,"Male",37,124317,0,"White","College+","Ever",5,"South",-0.521998836659058,3.05924021559141,3.95924021559141,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.260198013646861,1.20504963324808
1,4.57024147672368,"Male",34,68490,0,"Black","Some college","Never",0,"South",-0.284803598350476,3.67024147672368,4.57024147672368,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.188557459253942,1
0,2.59975740815468,"Male",24,63474,0,"White","Some college","Never",0,"South",0.402958306649444,2.59975740815468,3.49975740815468,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.122994913791999,0.480508961258537
0,2.36622035809377,"Male",52,62613,0,"White","College+","Never",0,"South",1.38526134058399,2.36622035809377,3.26622035809377,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.245514651949533,1.11491833125415
0,2.83433732969223,"Male",40,73419,0,"White","HS","Never",0,"South",0.500542420173957,2.83433732969223,3.73433732969223,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.240443188211389,1.0845976676252
0,3.16862216441136,"Male",71,54305,1,"Mexican American","<HS","Never",0,"Coastal",0.535313672589659,3.16862216441136,4.06862216441136,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.420520189665466,2.48636562815282
1,6.34413502635974,"Male",45,68017,0,"Mexican American","College+","Never",0,"Inland",-0.451290223450205,5.44413502635974,6.34413502635974,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.358126134271017,1
1,3.862209763304,"Female",42,33047,0,"White","Some college","Ever",3,"North",0.509789204480408,2.962209763304,3.862209763304,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.140527825997511,1
0,4.81957506422215,"Female",40,45317,0,"Other","<HS","Never",0,"North",-0.986319688379663,4.81957506422215,5.71957506422215,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.144179956320939,0.577216699335179
1,4.87859808395729,"Male",50,62871,0,"Mexican American","<HS","Never",0,"North",0.314577540852569,3.97859808395729,4.87859808395729,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.378353550272971,1
0,2.56761124606869,"Female",54,24505,0,"White","HS","Never",0,"North",1.49095671913752,2.56761124606869,3.46761124606869,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.214793533203362,0.937246409385203
0,3.09701392559282,"Male",55,11522,0,"Mexican American","HS","Never",0,"Coastal",0.56919780537778,3.09701392559282,3.99701392559282,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.397486704844278,2.26033298883698
0,3.74000569194026,"Male",18,41622,0,"Other","HS","Ever",7,"Coastal",0.71493453236132,3.74000569194026,4.64000569194026,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.149379075728334,0.601686347659271
0,5.10334899599954,"Female",50,68638,0,"Other","College+","Ever",3,"Inland",-0.116872759150281,5.10334899599954,6.00334899599954,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.215820915962489,0.942963164675985
0,4.1427098977652,"Male",64,93126,0,"White","HS","Never",0,"South",-1.60175236933226,4.1427098977652,5.0427098977652,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.393522525310166,2.22316334015098
0,3.73152471500314,"Female",54,54305,1,"Black","College+","Ever",5,"Coastal",-1.39028188754748,3.73152471500314,4.63152471500314,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.211163404887594,0.917166233615303
0,2.76956113653485,"Female",39,29469,0,"White","College+","Never",0,"Inland",0.0998538066298834,2.76956113653485,3.66956113653485,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.133489226816043,0.527823475596183
0,2.53102999548979,"Female",44,70900,0,"White","Some college","Never",0,"Inland",0.0212979472491827,2.53102999548979,3.43102999548979,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.160806714594233,0.656536128494558
0,2.86719625056589,"Male",31,25829,0,"Mexican American","Some college","Never",0,"Inland",-0.232911276952616,2.86719625056589,3.76719625056589,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.213791326277408,0.9316841382834
0,1.72983377725469,"Male",44,46785,0,"Other","<HS","Never",0,"South",-0.34922968870256,1.72983377725469,2.62983377725469,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.192472043071177,0.816632276090353
0,0.524068084581304,"Female",50,43182,0,"Black","College+","Ever",4,"Coastal",0.372451009699963,0.524068084581304,1.4240680845813,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.234754722256519,1.05106634431716
0,2.74773166648535,"Female",51,34291,0,"White","Some college","Never",0,"Inland",0.231423614686353,2.74773166648535,3.64773166648535,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.158087715203932,0.643350625114483
0,2.8063173871283,"Male",70,77007,0,"White","Some college","Never",0,"North",-1.83595628963251,2.8063173871283,3.7063173871283,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.327362570473958,1.66749462578573
0,1.88308873380317,"Male",42,54305,1,"Black","HS","Never",0,"Coastal",0.160369383267392,1.88308873380317,2.78308873380317,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.215528266611525,0.941333225258754
1,3.6107733860464,"Female",32,55793,0,"Other","College+","Never",0,"North",-0.319059665460449,2.7107733860464,3.6107733860464,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.128372256950747,1
0,2.2876264438089,"Male",30,79249,0,"Black","Some college","Ever",2,"North",0.404857515737171,2.2876264438089,3.1876264438089,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.194777898359389,0.828782247213247
0,5.01078995333604,"Male",49,47280,0,"Other","Some college","Never",0,"South",1.39478935822442,5.01078995333604,5.91078995333604,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.193828175193248,0.823769564914058
0,3.9282661488322,"Male",25,48780,0,"White","HS","Never",0,"North",0.197671047111294,3.9282661488322,4.8282661488322,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.159007983038725,0.647803822793254
0,2.76337469790181,"Female",66,54305,1,"Other","Some college","Ever",6,"Coastal",1.65901657285043,2.76337469790181,3.66337469790181,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.20341641881395,0.874925560924008
1,3.45199269985118,"Female",51,74901,0,"Mexican American","HS","Ever",2,"North",-1.19864382823155,2.55199269985118,3.45199269985118,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.418792436614391,1
0,3.82991231096352,"Female",36,54305,1,"White","HS","Ever",5,"South",0.375020091433299,3.82991231096352,4.72991231096352,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.144299186674227,0.577774525503229
1,5.65013285350169,"Male",66,95357,0,"Black","Some college","Ever",6,"Inland",-0.433321875850719,4.75013285350169,5.65013285350169,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.410860611251577,1
0,2.60542813232449,"Female",29,32406,0,"Black","Some college","Never",0,"South",-0.208727654963386,2.60542813232449,3.50542813232449,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.117171272837729,0.454737889873631
0,2.99143409746657,"Female",50,31122,0,"Black","Some college","Ever",11,"Inland",-1.86312376326552,2.99143409746657,3.89143409746657,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.216853066472519,0.948721553367376
0,2.94647793349264,"Male",34,60239,0,"Black","Some college","Never",0,"Coastal",-0.836452072428036,2.94647793349264,3.84647793349264,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.181808751116642,0.761336067544565
0,1.97411111347887,"Female",33,53544,0,"White","<HS","Ever",4,"North",-1.47876338207555,1.97411111347887,2.87411111347887,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.142603827796904,0.569857270909088
0,3.00353108596169,"Female",32,33482,0,"White","Some college","Never",0,"Coastal",-0.426203386749471,3.00353108596169,3.90353108596169,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.103351276406334,0.394920757277125
0,2.55216870563918,"Female",53,54305,1,"White","College+","Ever",3,"Inland",1.41225148898073,2.55216870563918,3.45216870563918,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.168792687406984,0.695762029038837
0,2.35578280178992,"Male",23,45107,0,"White","Some college","Ever",5,"Coastal",-0.487428054229195,2.35578280178992,3.25578280178992,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.122996281210498,0.480515052619768
0,3.8927093015798,"Female",61,38533,0,"Other","Some college","Never",0,"Inland",-0.046096021730181,3.8927093015798,4.7927093015798,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.197103240498271,0.841105572745705
1,3.81771204155805,"Male",44,37791,0,"Mexican American","<HS","Never",0,"North",-1.04508224847025,2.91771204155805,3.81771204155805,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.313194451530285,1
0,3.64577688941656,"Female",40,42016,0,"Other","<HS","Ever",9,"South",-0.787084823965765,3.64577688941656,4.54577688941656,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.165389505795014,0.678954325443426
0,4.10863816764471,"Male",27,68881,0,"White","Some college","Ever",9,"North",-0.166598371091212,4.10863816764471,5.00863816764471,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.157298792644188,0.639540753302468
1,4.35951671476351,"Male",20,33162,0,"Mexican American","<HS","Ever",5,"North",-1.71684391756102,3.45951671476351,4.35951671476351,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.214809980537922,1
0,3.46143019092084,"Female",47,74140,0,"White","College+","Ever",3,"South",-0.634619976717934,3.46143019092084,4.36143019092084,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.209620155133683,0.90868557149667
1,4.39844166424118,"Male",72,46077,0,"Mexican American","HS","Never",0,"Inland",0.135183350070487,3.49844166424118,4.39844166424118,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.550846560050055,1
1,4.98132177175746,"Male",38,56791,0,"White","HS","Ever",7,"North",0.365209287995721,4.08132177175746,4.98132177175746,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.242565084359986,1
0,3.78636456967071,"Male",24,9348,0,"White","College+","Ever",3,"South",-0.511749192672817,3.78636456967071,4.68636456967071,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.116428012690117,0.451473222769427
0,3.5257102277577,"Female",54,63763,0,"White","Some college","Never",0,"North",-1.22745951432635,3.5257102277577,4.4257102277577,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.192104621445259,0.814702670826221
0,4.20145897918028,"Male",26,40102,0,"White","Some college","Ever",6,"Inland",-1.74587725332722,4.20145897918028,5.10145897918028,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.129957964432187,0.51177505725013
0,3.55233082024146,"Male",54,50777,0,"White","College+","Ever",6,"Coastal",0.603986583224203,3.55233082024146,4.45233082024146,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.269511700489103,1.26409819519124
0,3.82302231113502,"Male",38,65476,0,"Black","College+","Never",0,"Inland",-0.692108189631019,3.82302231113502,4.72302231113502,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.224387393885105,0.991219977776664
0,3.95837079029179,"Female",54,59043,0,"White","College+","Never",0,"Coastal",1.87015551357416,3.95837079029179,4.85837079029179,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.209436753572464,0.907679921161975
0,3.11789756045987,"Female",31,36789,0,"White","College+","Ever",2,"Coastal",-0.473211622745125,3.11789756045987,4.01789756045987,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.12447061071804,0.48709373387816
0,3.69738688074398,"Female",35,53081,0,"White","Some college","Never",0,"Inland",-0.468195323819274,3.69738688074398,4.59738688074398,0.9,"hidden_h0_none","H0: no hidden confounding",0,"none",0,0.121540709292751,0.474041733101504
