"stage","R2","lower","upper","n_valid","B","bootstrap_pool","dataset_id","dataset_label"
"coarse",0,0.697635093003505,1.09050886381877,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.1,0.489556579910416,1.27850976340351,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.2,0.369550601041681,1.40925208756939,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.3,0.241056674344468,1.5072904406343,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.4,0.128013343367872,1.60942694646664,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.5,0.00251565021423159,1.72523305750902,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.6,-0.179304984177551,1.88182785915229,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.7,-0.424257035109961,2.10683640595867,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.8,-0.806493397538334,2.46320730966833,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"coarse",0.9,-1.66036191044946,3.23895873199625,80,80,"stage_specific_coarse","hidden_h0_none","H0: no hidden confounding"
"fine",0.52,-0.0881933544384964,1.9157485976477,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.54,-0.126567177875854,1.95386876617813,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.56,-0.166776725495002,1.99381252456532,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.58,-0.209063084157871,2.03581936606231,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.6,-0.253705900865954,2.08016708917527,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.62,-0.301032662195362,2.12718101576044,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.64,-0.351430711594812,2.17724592888666,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.66,-0.405363042637554,2.23082176169218,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
"fine",0.68,-0.463389383053416,2.28846454204915,120,120,"stage_specific_fine","hidden_h0_none","H0: no hidden confounding"
