"Z","Y","gender","age","income","income.missing","race","education","smoking.ever","smoking.now","location_region","hidden_confounder","Y0","Y1","true_unit_ATT","dataset_id","dataset_label","scenario_order","scenario_class","omitted_confounding_strength","ps","w"
0,2.79687432893585,"Female",50,52143,0,"White","College+","Ever",2,"North",-0.942466944834276,2.79687432893585,3.69687432893585,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.238554126225538,0.978137496252684
0,3.76755222852467,"Female",48,58921,0,"Other","HS","Never",0,"North",0.578530626268924,3.76755222852467,4.66755222852467,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.251162818920278,1.04717667792634
0,3.49644073336251,"Male",43,65241,0,"White","HS","Ever",3,"Coastal",0.677073531198511,3.49644073336251,4.39644073336251,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.256354064006336,1.07628183428563
0,4.00983322474339,"Male",56,68376,0,"Black","College+","Ever",4,"North",-0.173921179931186,4.00983322474339,4.90983322474339,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.300542317240904,1.34151705449234
0,4.14339944148708,"Female",53,60989,0,"Black","Some college","Ever",3,"South",-0.105029675937934,4.14339944148708,5.04339944148708,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.259916181256194,1.0964893583716
1,2.93016985141056,"Female",35,54690,0,"Black","<HS","Never",0,"Coastal",2.00587050837396,2.03016985141056,2.93016985141056,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.13695208965918,1
0,1.99729005234095,"Male",29,55474,1,"White","College+","Ever",7,"North",1.11223912658806,1.99729005234095,2.89729005234095,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.170967917465707,0.643865709600901
0,2.53770014416977,"Male",55,50107,0,"Mexican American","HS","Ever",7,"Coastal",-0.0987350858342341,2.53770014416977,3.43770014416977,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.31588833955817,1.44164594412602
0,4.94735495645964,"Male",59,78374,0,"White","<HS","Never",0,"North",-1.80211150601342,4.94735495645964,5.84735495645964,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.254052698558473,1.06332904666471
0,3.30034880184062,"Male",29,59766,0,"White","HS","Ever",8,"Coastal",-1.10797317990067,3.30034880184062,4.20034880184062,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.188347506015904,0.724505620262605
0,2.76902389935473,"Female",54,55474,1,"Mexican American","HS","Never",0,"North",0.295864366591251,2.76902389935473,3.66902389935473,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.299006753679907,1.33173917835414
0,3.63373948842075,"Female",64,46084,0,"White","HS","Ever",5,"Inland",0.857987609315264,3.63373948842075,4.53373948842075,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.25552581163458,1.07161095281444
0,3.35686126542774,"Female",28,46430,0,"Mexican American","Some college","Never",0,"Inland",-0.955876779848953,3.35686126542774,4.25686126542774,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.230305646648064,0.934196633708657
0,3.13424854413919,"Male",49,45915,0,"White","<HS","Ever",7,"North",0.797769425860096,3.13424854413919,4.03424854413919,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.157393289038566,0.583194352174694
0,1.99176139501918,"Female",47,26028,0,"White","Some college","Ever",5,"Inland",-0.979031446500895,1.99176139501918,2.89176139501918,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.183312650026261,0.700791167388726
0,2.83678621937128,"Female",34,19330,0,"White","College+","Never",0,"South",2.87407203880653,2.83678621937128,3.73678621937128,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.154058517074534,0.568587624984616
1,3.75243851095649,"Female",47,51377,0,"Mexican American","HS","Ever",5,"Coastal",0.112065924177587,2.85243851095649,3.75243851095649,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.273067289396597,1
0,2.08711218500199,"Male",52,24240,0,"White","College+","Ever",3,"Coastal",0.0614358650624916,2.08711218500199,2.98711218500199,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.218363490899889,0.872222337104166
0,4.63118865174408,"Female",43,73302,0,"White","HS","Ever",5,"Inland",-0.99298563095663,4.63118865174408,5.53118865174408,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.23730768897474,0.971436582527668
0,3.43977879293764,"Male",61,19201,0,"Other","Some college","Never",0,"Coastal",-1.02110740045977,3.43977879293764,4.33977879293764,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.255474438957022,1.07132158184668
0,3.63041991526736,"Male",37,82150,0,"White","Some college","Ever",9,"North",-0.854279231729762,3.63041991526736,4.53041991526737,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.248847201822601,1.03432372044757
0,3.05556387801598,"Female",18,52892,0,"White","Some college","Never",0,"North",-0.0797231944620097,3.05556387801598,3.95556387801598,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.162981157581978,0.607930840431832
0,1.12831994031842,"Male",22,59348,0,"Black","HS","Never",0,"Inland",-0.122729234477848,1.12831994031842,2.02831994031842,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.191770630421409,0.740797452894808
0,2.65977808376512,"Female",28,64472,0,"White","HS","Ever",2,"North",-0.168106876101042,2.65977808376512,3.55977808376512,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.193289813532062,0.748072067113733
0,3.03525960133045,"Female",54,69860,0,"White","Some college","Never",0,"Coastal",1.08251747799388,3.03525960133045,3.93525960133045,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.292300057227606,1.28953089702981
0,2.53651940740087,"Female",45,57496,0,"White","Some college","Ever",8,"Coastal",-0.0314025685561364,2.53651940740087,3.43651940740087,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.213041186824879,0.845207966371794
0,3.22121263628814,"Female",52,40270,0,"White","HS","Never",0,"Coastal",-0.212360520212641,3.22121263628814,4.12121263628814,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.226232484744674,0.912843830771807
0,4.89317382923102,"Male",59,67427,0,"Other","HS","Ever",7,"Coastal",-1.74901854657029,4.89317382923102,5.79317382923102,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.301869421202313,1.35000219136343
0,3.12081404356856,"Female",34,76905,0,"White","Some college","Ever",2,"Coastal",1.55692057624982,3.12081404356856,4.02081404356856,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.236051598147548,0.964705891393073
0,2.3237969251808,"Male",57,119536,0,"White","HS","Never",0,"Inland",-1.20010324599099,2.3237969251808,3.2237969251808,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.428320870991655,2.32303907150807
1,4.28845277193399,"Female",48,57889,0,"Mexican American","College+","Ever",5,"Coastal",-0.659914784537341,3.38845277193399,4.28845277193399,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.291944430921992,1
1,4.1885529465954,"Female",58,62277,0,"Other","College+","Never",0,"Inland",-1.11475684075908,3.2885529465954,4.1885529465954,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.293355834342842,1
0,3.52760447930142,"Male",36,41081,0,"White","Some college","Never",0,"Inland",-0.848195295296527,3.52760447930142,4.42760447930142,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.211579300017343,0.837851728948217
1,3.75243360165004,"Male",20,26536,0,"White","<HS","Ever",5,"Inland",0.351432623598101,2.85243360165004,3.75243360165004,0.9,"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden",0.03,0.0919182583924942,1
