"stage","R2","lower","upper","n_valid","B","bootstrap_pool","dataset_id","dataset_label"
"coarse",0,0.724303567019587,1.12405226050065,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.1,0.608840402940487,1.28981526325744,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.2,0.553916252748565,1.38021666305883,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.3,0.47358660766883,1.46525515206191,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.4,0.388560738327607,1.55689043087396,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.5,0.276826760873338,1.66798883159827,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.6,0.118701150230919,1.80468983195607,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.7,-0.0327382009929518,1.99988064837798,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.8,-0.330533408605311,2.31754071438094,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"coarse",0.9,-0.992551939351874,2.9795592451275,80,80,"stage_specific_coarse","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.62,0.0480590353747717,1.98221504262642,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.64,0.00843074164168489,2.01682330003477,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.66,-0.0339765793110024,2.05385854281898,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.68,-0.0724561848920798,2.09370513508806,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.7,-0.111870114225601,2.1368335299575,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.72,-0.154816674484526,2.18382747957002,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.74,-0.201968030536137,2.23542249526144,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.76,-0.254185918618189,2.29256152540973,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
"fine",0.78,-0.312597353480622,2.35647779740383,120,120,"stage_specific_fine","hidden_h1_tiny","H1: tiny hidden variable"
