"Z","Y","gender","age","income","income.missing","race","education","smoking.ever","smoking.now","location_region","hidden_confounder","Y0","Y1","true_unit_ATT","dataset_id","dataset_label","scenario_order","scenario_class","omitted_confounding_strength","ps","w"
1,3.5998749875267,"Male",32,54453,1,"White","Some college","Never",0,"North",-1.58520290819562,2.6998749875267,3.5998749875267,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.175321176732181,1
1,5.14198032735794,"Male",30,72909,0,"Mexican American","College+","Never",0,"Coastal",1.24315279488556,4.24198032735794,5.14198032735794,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.170642331928085,1
0,2.67551609284972,"Male",45,55421,0,"Black","<HS","Ever",2,"South",-1.77793753615003,2.67551609284972,3.57551609284971,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.287270062034035,1.25839614434065
0,4.34657892941336,"Male",47,57985,0,"Black","Some college","Ever",6,"Coastal",0.392983434989814,4.34657892941336,5.24657892941336,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.266900173041732,1.13667877538586
0,2.82225002211614,"Male",53,42401,0,"White","College+","Ever",5,"North",-0.466574580232892,2.82225002211614,3.72225002211614,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.222426029830838,0.893091402398723
0,4.13651595157407,"Female",47,66418,0,"White","College+","Never",0,"Inland",-2.23787598024699,4.13651595157407,5.03651595157407,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.169825827857295,0.63868473292603
0,2.37501539555702,"Male",28,49770,0,"Mexican American","Some college","Never",0,"Coastal",-1.03059290219376,2.37501539555702,3.27501539555702,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.177940618284517,0.675808916602679
0,3.89098222085521,"Female",66,76691,0,"Other","HS","Never",0,"North",-1.02100129206917,3.89098222085521,4.79098222085521,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.440484185363104,2.45793258255023
1,3.93870468372147,"Female",47,56595,0,"White","College+","Ever",9,"North",0.110255169666016,3.03870468372147,3.93870468372147,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.198364455766636,1
0,3.719715994579,"Male",67,53850,0,"White","College+","Never",0,"Inland",-0.516707337266665,3.719715994579,4.619715994579,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.240939411866791,0.991022273830452
0,4.06091879656647,"Male",38,48071,0,"White","Some college","Ever",4,"South",1.24592989970317,4.06091879656647,4.96091879656647,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.211692407885135,0.838419915696452
1,3.43399837955289,"Male",31,54453,1,"Black","Some college","Never",0,"Coastal",-0.48617286252595,2.53399837955289,3.43399837955289,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.181345457528639,1
0,3.07088818517646,"Male",18,36135,0,"White","<HS","Never",0,"North",0.297359364670003,3.07088818517646,3.97088818517646,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.125859021785637,0.449526071210498
0,2.60921905240025,"Male",49,59132,0,"White","HS","Never",0,"Inland",-1.57014824143359,2.60921905240025,3.50921905240025,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.254275176446374,1.06457772943152
0,2.96252606485161,"Female",56,63836,0,"White","Some college","Ever",3,"North",-0.888335721380648,2.96252606485161,3.86252606485161,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.286634683561804,1.25449450145203
1,2.78153666932907,"Female",63,59029,0,"Mexican American","<HS","Ever",1,"Coastal",0.104706136137313,1.88153666932907,2.78153666932907,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.406251608642836,1
0,2.86203410687024,"Male",54,69102,0,"Mexican American","<HS","Never",0,"Inland",0.215205564673192,2.86203410687024,3.76203410687024,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.32786113536162,1.52294052326725
0,3.89296546954977,"Female",45,94031,0,"Other","Some college","Never",0,"Coastal",0.84601836074944,3.89296546954977,4.79296546954977,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.309909515255363,1.40210611652198
0,2.05194637126535,"Female",43,56490,0,"Mexican American","HS","Never",0,"North",-1.12212994986873,2.05194637126535,2.95194637126535,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.26087339001176,1.1019527071665
0,2.05944076691308,"Male",20,53532,0,"White","College+","Never",1,"Inland",-0.122673009496179,2.05944076691308,2.95944076691308,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.102677739192086,0.357256276982036
0,4.94808968537941,"Female",72,69789,0,"White","<HS","Ever",2,"Coastal",0.81695518688882,4.94808968537941,5.84808968537941,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.404609703535501,2.12171259284135
0,2.92207124877689,"Male",63,66527,0,"White","Some college","Never",0,"Inland",-0.799229618627938,2.92207124877689,3.82207124877689,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.281293778459627,1.22197053689363
0,3.38654389379435,"Male",42,62619,0,"Black","HS","Never",0,"North",-0.482862422522604,3.38654389379435,4.28654389379435,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.241468654335175,0.993892107481363
1,3.79207424468859,"Male",54,70383,0,"White","Some college","Ever",3,"North",-1.06205820320075,2.89207424468859,3.79207424468859,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.301650199349426,1
0,3.58215256792189,"Female",47,71352,0,"Black","College+","Ever",5,"South",-1.54847471481926,3.58215256792189,4.48215256792189,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.225529256017262,0.909180019399574
0,2.15871860865258,"Male",58,65605,0,"Mexican American","College+","Never",0,"Inland",-1.05628552711626,2.15871860865258,3.05871860865258,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.265413142199952,1.12805761514887
0,3.07253506663176,"Male",64,43203,0,"White","HS","Never",0,"Inland",0.00192682411504412,3.07253506663176,3.97253506663176,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.301104365478133,1.3451067022114
1,3.20648590772442,"Male",62,66546,0,"Mexican American","HS","Never",0,"Inland",-0.771493347304958,2.30648590772442,3.20648590772442,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.37844866900328,1
1,3.96635158890637,"Male",37,45292,0,"Mexican American","Some college","Ever",6,"Coastal",-0.231832962951555,3.06635158890637,3.96635158890637,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.249178018780346,1
1,4.4185112799907,"Male",45,54668,0,"White","Some college","Never",0,"Inland",1.53312348560153,3.5185112799907,4.4185112799907,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.198873203717032,1
1,4.5107173606834,"Female",24,54453,1,"Other","College+","Ever",7,"Inland",1.63525722579952,3.6107173606834,4.5107173606834,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.21076807134587,1
0,1.72775930633864,"Female",29,53364,0,"White","HS","Never",0,"North",-0.545843218834577,1.72775930633864,2.62775930633864,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.165392428229482,0.618707407020248
0,2.30018386251108,"Female",69,54453,1,"Other","College+","Never",0,"North",-1.03751545508512,2.30018386251108,3.20018386251108,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.353575578694076,1.70771942272338
1,2.64326781094328,"Female",57,68879,0,"Black","College+","Never",0,"North",-2.07713479415641,1.74326781094328,2.64326781094328,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.215093541229917,1
0,3.09588599259134,"Female",54,60551,0,"White","HS","Never",0,"North",-0.370665539532414,3.09588599259134,3.99588599259134,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.26141599196251,1.10505594188298
0,3.24091398945114,"Male",46,81460,0,"Black","College+","Never",0,"North",-0.951046830300657,3.24091398945114,4.14091398945114,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.20063026981988,0.783611445675472
0,3.25012689053105,"Male",18,57002,0,"White","Some college","Ever",6,"Inland",1.58022211015998,3.25012689053105,4.15012689053105,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.153883017435368,0.567822103284546
0,4.39416542556138,"Male",39,53260,0,"White","College+","Never",0,"Coastal",-0.675736550211331,4.39416542556138,5.29416542556138,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.147404819461363,0.539785012818107
0,3.46298830165593,"Female",27,58676,0,"Black","HS","Never",0,"Coastal",-1.24340642464466,3.46298830165593,4.36298830165593,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.17233667088469,0.650093760859314
0,2.50444718872296,"Female",44,72781,0,"White","Some college","Ever",6,"North",-1.71546519134776,2.50444718872296,3.40444718872296,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.243606346341335,1.0055246791489
0,3.36001582294089,"Female",45,54453,1,"White","<HS","Ever",3,"Coastal",0.866890190492329,3.36001582294089,4.26001582294089,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.28233322052487,1.22826238244015
0,5.36134596980116,"Female",34,35403,0,"White","Some college","Ever",3,"South",0.0632957268328851,5.36134596980116,6.26134596980116,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.175542424972703,0.664761399129403
0,2.00576262216725,"Female",22,49019,0,"Mexican American","College+","Ever",3,"Coastal",-0.297738102813706,2.00576262216725,2.90576262216725,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.155000218413879,0.572700715637693
1,4.54092101161341,"Female",68,47954,0,"Mexican American","College+","Never",0,"Coastal",1.49345587941695,3.64092101161341,4.54092101161341,0.9,"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden",0.06,0.272829079239264,1
