"stage","R2","lower","upper","n_valid","B","bootstrap_pool","dataset_id","dataset_label"
"coarse",0,0.755652997981971,1.08543029226456,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.1,0.530984648589323,1.27720948140749,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.2,0.384136124762866,1.38169479021429,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.3,0.27694661856753,1.49158769815551,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.4,0.165131919787821,1.58679719093121,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.5,0.0383523191197821,1.71896779096257,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.6,-0.116920346595472,1.90236875141143,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.7,-0.339412903304811,2.14852524371581,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.8,-0.679544911479953,2.5326410812783,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"coarse",0.9,-1.44738284255964,3.3456280666056,80,80,"stage_specific_coarse","hidden_h2_weak","H2: weak hidden variable"
"fine",0.52,0.0221509660094967,1.86156763643491,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.54,-0.00973884285096934,1.8919346699392,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.56,-0.0431541940742755,1.92375439938932,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.58,-0.0782954381404381,1.9572045276663,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.6,-0.115394970172674,1.99246167411223,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.62,-0.154724941428821,2.02983849479792,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.64,-0.196607246039734,2.06964089839365,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.66,-0.2414266456797,2.11531068191878,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
"fine",0.68,-0.289648291035288,2.16693086613112,120,120,"stage_specific_fine","hidden_h2_weak","H2: weak hidden variable"
