"Z","Y","gender","age","income","income.missing","race","education","smoking.ever","smoking.now","location_region","hidden_confounder","Y0","Y1","true_unit_ATT","dataset_id","dataset_label","scenario_order","scenario_class","omitted_confounding_strength","ps","w"
0,2.61590799689953,"Female",23,52150,0,"Black","Some college","Ever",6,"South",0.39690259193739,2.61590799689953,3.51590799689953,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.209097942514031,0.817171640014947
0,3.55784218596613,"Male",77,59083,0,"Mexican American","Some college","Never",0,"South",-0.550309469940868,3.55784218596613,4.45784218596613,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.337164372765282,1.57225167460987
0,2.56508219645254,"Female",57,88990,0,"White","College+","Never",0,"North",-0.719167231907794,2.56508219645254,3.46508219645254,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.207031160915535,0.806985679429866
1,5.02344289677121,"Male",31,46318,0,"Mexican American","Some college","Never",0,"Coastal",2.00952466614963,4.12344289677121,5.02344289677121,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.244214429288697,1
1,2.97316464743765,"Male",50,53269,0,"White","College+","Ever",5,"North",-0.0519190531046702,2.07316464743765,2.97316464743765,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.274159975074009,1
0,2.75101021445951,"Male",27,21658,0,"Other","College+","Ever",12,"North",-1.16167173054174,2.75101021445951,3.65101021445951,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.431736905658342,2.34831284992442
0,3.69065359199662,"Male",27,86936,0,"Other","HS","Never",0,"North",1.79547474586158,3.69065359199662,4.59065359199662,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.265061605117309,1.11476190468838
0,3.6062674064844,"Male",69,54066,1,"Mexican American","Some college","Ever",6,"Coastal",0.439736027072159,3.6062674064844,4.5062674064844,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.270654472010085,1.14701240485667
0,3.62031751993712,"Male",60,41613,0,"Mexican American","Some college","Never",0,"Inland",0.0331731802740396,3.62031751993712,4.52031751993712,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.309936888203268,1.38825960840194
0,1.83295029184177,"Female",41,36469,0,"Black","College+","Ever",5,"North",-0.375020788622552,1.83295029184177,2.73295029184177,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.236709934099788,0.958546324528187
0,0.969748073472063,"Female",32,72275,0,"White","College+","Never",0,"Inland",-1.387916416807,0.969748073472063,1.86974807347206,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.174167814251021,0.651872002208304
0,3.82457431395133,"Male",41,52499,0,"White","College+","Never",0,"South",0.382865731011715,3.82457431395133,4.72457431395133,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.255669235480075,1.06169246507073
0,2.15666489844895,"Female",62,67620,0,"White","Some college","Never",0,"Coastal",0.884415716672554,2.15666489844895,3.05666489844895,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.238051666376319,0.965677103340216
0,2.50652561242184,"Female",51,8000,0,"Other","College+","Never",0,"South",-0.17981794149525,2.50652561242184,3.40652561242184,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.36860243872114,1.80443621997337
0,2.41124488609558,"Female",37,8000,0,"White","Some college","Never",0,"North",-1.20178130444501,2.41124488609558,3.31124488609558,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.225938141334408,0.902194375314554
1,5.49958957343037,"Female",45,53405,0,"Other","HS","Ever",4,"Coastal",0.00560970477889651,4.59958957343037,5.49958957343037,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.255436699807347,1
1,4.6362306555796,"Male",44,54390,0,"Mexican American","HS","Never",0,"Coastal",-0.28244278315645,3.7362306555796,4.6362306555796,0.9,"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden",0.12,0.206227544032208,1
