"stage","R2","lower","upper","n_valid","B","bootstrap_pool","dataset_id","dataset_label"
"coarse",0,1.04389235753811,1.41582739910078,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.1,0.846741535140231,1.66469216470866,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.2,0.750383919544179,1.75837367664678,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.3,0.654019288678135,1.87623756598407,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.4,0.51989272804603,2.00219971136984,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.5,0.415086846792553,2.14502020514732,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.6,0.293859529224351,2.31993887243089,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.7,0.0485904878398792,2.55559246829917,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.8,-0.350120370360359,2.93597723963896,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"coarse",0.9,-1.19399793782133,3.85794496093605,80,80,"stage_specific_coarse","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.72,-0.136354652286324,2.51547619893572,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.74,-0.203109669266113,2.57375638184191,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.76,-0.27703768104483,2.63829891726901,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.78,-0.359734270338834,2.71049682190339,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.8,-0.453335211201164,2.79214734298769,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.82,-0.56077891679402,2.88850117335666,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.84,-0.68624389905257,3.00274783202409,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.86,-0.835918520240134,3.13903944941543,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
"fine",0.88,-1.01944991189226,3.31741993023047,120,120,"stage_specific_fine","hidden_h3_moderate","H3: moderate hidden variable"
