"Z","Y","gender","age","income","income.missing","race","education","smoking.ever","smoking.now","location_region","hidden_confounder","Y0","Y1","true_unit_ATT","dataset_id","dataset_label","scenario_order","scenario_class","omitted_confounding_strength","ps","w"
0,2.05639627982318,"Female",55,54896,1,"White","HS","Ever",10,"Inland",0.459661508984997,2.05639627982318,2.95639627982318,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.283307317448075,1.47716690618286
0,1.80329153452399,"Male",63,42839,0,"White","HS","Ever",8,"South",-0.57572544611056,1.80329153452399,2.70329153452399,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.331820671923634,1.8557315471143
0,4.07180798554804,"Female",48,31668,0,"Other","<HS","Ever",7,"Coastal",0.94191463936803,4.07180798554804,4.97180798554804,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.250427408694192,1.24845504754937
0,5.19703821128575,"Female",66,56821,0,"White","College+","Ever",6,"North",-0.308578559981227,5.19703821128575,6.09703821128575,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.223198024871103,1.07370450108796
0,2.36874911452248,"Female",62,60958,0,"White","HS","Ever",4,"South",-0.0611301431128414,2.36874911452248,3.26874911452248,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.230485208411927,1.11925961768269
0,2.38594691727796,"Male",46,71581,0,"Other","College+","Never",0,"Coastal",-0.0585473927305839,2.38594691727796,3.28594691727796,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.372042619986991,2.21394727026062
0,3.68797423902027,"Female",26,54896,1,"Black","<HS","Never",0,"South",-0.273637350228893,3.68797423902027,4.58797423902027,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.116235508385363,0.491481323341616
0,3.8308876026918,"Female",36,79998,0,"Black","<HS","Ever",5,"South",0.94995501639438,3.8308876026918,4.7308876026918,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.159316792805015,0.708164138802862
0,3.62929003100055,"Male",26,76407,0,"White","College+","Never",0,"Coastal",-3.00544272589008,3.62929003100055,4.52929003100055,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.255564950560067,1.28285989301665
0,0.59532772796193,"Female",54,54896,1,"White","College+","Never",0,"North",-1.24887448424754,0.59532772796193,1.49532772796193,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.175530059883816,0.795575540838727
0,1.76610236025841,"Female",35,57071,0,"White","<HS","Ever",5,"Coastal",-0.368277006119911,1.76610236025841,2.66610236025841,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.162888420955924,0.72712924432727
1,4.84125085074303,"Female",43,54896,1,"Other","College+","Never",0,"South",0.53854319465077,3.94125085074303,4.84125085074303,0.9,"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden",0.24,0.264256617913055,1
