"stage","R2","lower","upper","n_valid","B","bootstrap_pool","dataset_id","dataset_label"
"coarse",0,1.14038090688363,1.62183778961942,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.1,0.887741729153346,1.82857315799578,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.2,0.760475585243164,1.96493328266685,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.3,0.609683675160644,2.07539417885006,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.4,0.501993100241759,2.18220721176366,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.5,0.336524853039068,2.34636126087033,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.6,0.134343375938822,2.5612041876992,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.7,-0.13803917097021,2.82833424639936,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.8,-0.56307955549923,3.26449537196691,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"coarse",0.9,-1.46268396403753,4.14447466112646,80,80,"stage_specific_coarse","hidden_h4_strong","H4: strong hidden variable"
"fine",0.62,0.10524279371278,2.53968185035202,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.64,0.0603642158328448,2.58832568600304,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.66,0.0123384222199963,2.64038078493606,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.68,-0.0415583827256535,2.6963873923396,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.7,-0.102320839180454,2.75700675630141,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.72,-0.16852937361848,2.82305937300994,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.74,-0.241220228534946,2.89557904466204,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.76,-0.32172189899511,2.9758911377847,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
"fine",0.78,-0.411771846496091,3.06572902224161,120,120,"stage_specific_fine","hidden_h4_strong","H4: strong hidden variable"
