"Z","Y","gender","age","income","income.missing","race","education","smoking.ever","smoking.now","location_region","hidden_confounder","Y0","Y1","true_unit_ATT","dataset_id","dataset_label","scenario_order","scenario_class","omitted_confounding_strength","ps","w"
0,3.76329527718075,"Male",18,52826,0,"White","HS","Never",0,"Coastal",-0.422659700591557,3.76329527718075,4.66329527718075,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.130598397080276,0.531437925898556
0,4.06195195896966,"Female",38,83506,0,"Black","HS","Ever",3,"Inland",-0.572943931099741,4.06195195896966,4.96195195896966,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.124789139148738,0.504428045622988
0,3.79616369853811,"Male",19,42591,0,"White","College+","Never",0,"North",-0.858275758648389,3.79616369853811,4.69616369853811,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.243858371283775,1.14095799223023
0,4.34237442784107,"Female",36,63002,0,"Other","Some college","Ever",6,"North",-0.768156255400427,4.34237442784107,5.24237442784107,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.11863631169491,0.476209019706967
0,2.57658949640732,"Female",66,48871,0,"White","<HS","Ever",3,"Inland",-1.54694482159387,2.57658949640732,3.47658949640731,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0766693740771712,0.293764837534702
0,0.202191825775783,"Female",52,27692,0,"Other","HS","Never",0,"Coastal",-0.989448745235973,0.202191825775783,1.10219182577578,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.106868187575456,0.423319251692182
0,1.87975452456031,"Female",35,36274,0,"Mexican American","Some college","Ever",5,"South",1.14059096367491,1.87975452456031,2.77975452456031,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.296252505446559,1.48929353640431
0,3.2941426538275,"Female",76,61754,0,"Black","<HS","Never",0,"Coastal",0.903871590552573,3.2941426538275,4.1941426538275,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.162882935759798,0.688374109814064
0,3.57490660453634,"Male",62,90353,0,"Mexican American","College+","Never",0,"South",-1.5077146325175,3.57490660453634,4.47490660453634,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.42459279697122,2.61055268621951
1,4.50153027484481,"Female",46,45025,0,"White","College+","Never",0,"North",0.876696822443546,3.60153027484481,4.50153027484481,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.258193309329714,1
1,4.02949886051041,"Male",46,72016,0,"White","College+","Never",0,"North",1.19273934352872,3.12949886051041,4.02949886051041,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.261134825051977,1
0,3.4521619745269,"Female",29,75664,0,"Black","HS","Ever",6,"South",-0.343939949731746,3.4521619745269,4.3521619745269,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.203503312379554,0.903904696563949
1,4.19367666172086,"Male",26,43003,0,"White","HS","Never",0,"South",0.602657850111137,3.29367666172086,4.19367666172086,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.146080289842964,1
0,5.14453111223477,"Male",28,75661,0,"White","HS","Never",0,"North",0.513937814894969,5.14453111223477,6.04453111223477,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.126973055944364,0.514539901636975
0,3.93557772393062,"Male",70,81661,0,"Mexican American","<HS","Never",0,"North",0.344380584374064,3.93557772393062,4.83557772393062,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.195668579992948,0.860639339422784
0,3.88145036976389,"Male",36,31809,0,"Black","College+","Ever",4,"Inland",0.48846867633744,3.88145036976389,4.78145036976389,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.352334136956894,1.92459277271969
0,1.32717498942311,"Female",36,55714,0,"Black","HS","Never",0,"South",-0.306663124323183,1.32717498942311,2.22717498942311,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.190714721144472,0.833715184069039
0,2.37717914676782,"Female",45,17327,0,"White","HS","Never",0,"Coastal",0.281470654654648,2.37717914676782,3.27717914676782,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.166732216417779,0.707896991657216
0,3.64322079971944,"Female",25,36667,0,"White","HS","Never",0,"Inland",-2.26040343242399,3.64322079971944,4.54322079971944,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.129542141576602,0.526500098190564
0,2.49629170744621,"Male",52,68110,0,"White","<HS","Ever",4,"South",-0.409805487631837,2.49629170744621,3.39629170744621,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0867438192613643,0.336032322963347
1,3.51698716791278,"Male",31,55299,0,"White","College+","Never",0,"North",1.83099756998001,2.61698716791278,3.51698716791278,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.25182638801421,1
0,3.58021882298866,"Female",33,55558,1,"White","College+","Never",0,"North",-0.477191632666391,3.58021882298866,4.48021882298866,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.200984026166752,0.889900015960935
1,4.22320330513534,"Female",35,34702,0,"Black","Some college","Never",0,"Coastal",0.656781793478821,3.32320330513534,4.22320330513534,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.243942651260889,1
0,3.13847512329683,"Female",39,42805,0,"White","HS","Ever",2,"South",0.371735342083971,3.13847512329683,4.03847512329683,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.084529521548634,0.326662439665387
0,2.03734878460521,"Male",46,46462,0,"Other","Some college","Never",0,"North",0.345314270787812,2.03734878460521,2.93734878460521,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.128778854902184,0.522939305768627
0,3.00730850379222,"Male",42,54326,0,"White","HS","Never",0,"Inland",0.72149133196353,3.00730850379222,3.90730850379222,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.157426658110777,0.661006448482083
0,3.52283702798316,"Female",65,87343,0,"White","Some college","Never",0,"North",0.49871037469666,3.52283702798316,4.42283702798316,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.167756526243108,0.713122535353047
0,1.04258606004795,"Female",44,66251,0,"Black","Some college","Ever",8,"North",-1.2025205955339,1.04258606004795,1.94258606004795,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.366510173432154,2.04682882193179
0,2.54296653688033,"Male",57,54528,0,"Other","Some college","Ever",8,"South",-0.876862900312858,2.54296653688033,3.44296653688033,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.235290545804584,1.08853689123006
0,2.82907387600496,"Male",27,57406,0,"White","College+","Ever",5,"Inland",0.730281032814703,2.82907387600496,3.72907387600496,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.251806426043711,1.19066056419536
0,5.29428289719297,"Male",22,17336,0,"Mexican American","<HS","Never",0,"North",0.42677402898176,5.29428289719297,6.19428289719297,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.180981168261257,0.78176214000558
0,4.79854739462073,"Female",61,65385,0,"Other","<HS","Never",0,"Coastal",0.376684033835285,4.79854739462073,5.69854739462073,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0582569679391651,0.218852038567246
0,2.24017069030246,"Female",61,58808,0,"Black","<HS","Ever",3,"Inland",-1.27668036076739,2.24017069030246,3.14017069030246,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.106281260584264,0.420717877703367
0,0.018339654474437,"Female",58,65334,0,"Mexican American","Some college","Never",0,"Inland",-0.763268649095264,0.018339654474437,0.918339654474437,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.29761032797049,1.49901167669588
1,5.53693013752136,"Female",63,68922,0,"Black","College+","Never",0,"Coastal",2.12033321356076,4.63693013752136,5.53693013752136,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.362155077366866,1
0,3.06549794390316,"Male",40,74852,0,"Mexican American","<HS","Never",0,"Inland",-0.929066460308773,3.06549794390316,3.96549794390316,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.159904758674173,0.673392070489685
1,4.17869604162938,"Female",65,55542,0,"White","HS","Ever",6,"Inland",1.22728279300936,3.27869604162938,4.17869604162938,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.201868625298309,1
1,5.76477265414406,"Male",48,83840,0,"Mexican American","Some college","Never",0,"Coastal",1.39824048193788,4.86477265414406,5.76477265414406,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.290964994182057,1
0,1.95851790101217,"Female",42,55558,1,"Other","Some college","Never",0,"South",-0.599613435203128,1.95851790101217,2.85851790101217,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0904040193692643,0.351620624970835
0,2.71347951125811,"Male",43,70025,0,"White","HS","Ever",5,"Inland",-0.778971110144789,2.71347951125811,3.61347951125811,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.153705667162141,0.642545049808432
0,1.93777275773175,"Female",32,60842,0,"White","HS","Ever",5,"North",-1.80219475904975,1.93777275773175,2.83777275773175,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.127445133614367,0.516732344076064
1,4.50447216271719,"Female",70,27420,0,"Black","College+","Never",0,"Inland",1.98420735481207,3.60447216271719,4.50447216271719,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.432978662354322,1
1,6.20764457289133,"Female",46,91719,0,"Black","College+","Ever",4,"Coastal",2.76813057658005,5.30764457289133,6.20764457289133,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.266618718731078,1
1,7.17065591051128,"Female",48,79225,0,"White","<HS","Never",0,"Coastal",2.00962468299122,6.27065591051128,7.17065591051128,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0787386061721159,1
0,3.10685686989458,"Male",66,55558,1,"White","College+","Ever",4,"Coastal",-0.496326605942946,3.10685686989458,4.00685686989458,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.256816383408533,1.22253621521869
0,2.81617873000814,"Male",76,36926,0,"White","Some college","Never",0,"South",-0.44830061105023,2.81617873000814,3.71617873000814,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.258641702963922,1.23425681297619
1,4.0290792383575,"Female",40,57586,0,"White","College+","Ever",7,"North",1.20160231619786,3.1290792383575,4.0290792383575,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.328302270269389,1
0,3.26434089892029,"Male",40,48070,0,"Mexican American","College+","Never",0,"Inland",0.472373702619136,3.26434089892029,4.16434089892029,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.431192679281921,2.68189231650531
0,2.10497787492982,"Male",34,23190,0,"White","Some college","Ever",10,"Coastal",-0.156931076714926,2.10497787492982,3.00497787492982,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.429802033880602,2.6667231856657
0,3.32185151172029,"Male",43,63713,0,"Black","<HS","Never",0,"Coastal",0.344783076779817,3.32185151172029,4.22185151172029,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.142559765275033,0.588204371022997
1,2.65371137610688,"Male",50,38685,0,"Other","Some college","Ever",12,"Coastal",1.43847648695772,1.75371137610688,2.65371137610688,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.419733142160189,1
0,2.13900893003663,"Male",53,34324,0,"Mexican American","HS","Never",0,"South",0.496157587346026,2.13900893003663,3.03900893003663,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.315214257176942,1.6284944286223
1,5.49018416603599,"Male",68,64838,0,"White","College+","Ever",6,"Coastal",0.795744664810205,4.59018416603599,5.49018416603599,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.36933874181219,1
0,0.207805624661303,"Female",75,55558,1,"White","<HS","Never",0,"South",0.0747117726614138,0.207805624661303,1.1078056246613,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0982212706362081,0.385336985273342
1,5.17543418327989,"Male",56,18327,0,"White","Some college","Never",0,"Coastal",0.790790046983837,4.27543418327989,5.17543418327989,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.242576965338178,1
0,1.80030061520058,"Female",55,43422,0,"Black","College+","Never",0,"Coastal",-1.19060675852125,1.80030061520058,2.70030061520058,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.377529128709404,2.14568797300273
0,2.31412212555611,"Female",59,33016,0,"White","Some college","Ever",3,"North",-1.50259010251425,2.31412212555611,3.21412212555611,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.151358737469829,0.63098420324762
0,5.13309222882507,"Female",27,71543,0,"Other","HS","Ever",4,"South",0.0208350788527913,5.13309222882507,6.03309222882507,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0594534129037377,0.223630797614746
0,4.56154104742483,"Female",37,28643,0,"Mexican American","<HS","Never",0,"South",-0.713071295075283,4.56154104742483,5.46154104742483,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.168551242264392,0.71718567001236
0,3.19545113550033,"Female",45,55558,1,"Black","College+","Never",0,"North",-0.313116413883066,3.19545113550033,4.09545113550033,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.308870419666107,1.58107317900702
0,4.10306630256212,"Male",29,42634,0,"Other","HS","Never",0,"Coastal",0.939902320737328,4.10306630256212,5.00306630256212,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.0946572898213637,0.369893066963429
0,3.849224007439,"Female",46,72239,0,"Black","Some college","Ever",8,"North",-0.473163997242503,3.849224007439,4.749224007439,0.9,"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden",0.36,0.36318566028429,2.01767397871721
