"stage","R2","lower","upper","n_valid","B","bootstrap_pool","dataset_id","dataset_label"
"coarse",0,1.18421976639856,1.64659807687074,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.1,0.742390092158,2.08944650663592,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.2,0.551018332472772,2.3433295397524,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.3,0.362882677552992,2.5747943919244,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.4,0.123037533385841,2.79582079130777,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.5,-0.143888650137878,3.04642861797754,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.6,-0.443615799558253,3.35335926842193,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.7,-0.847413642505191,3.76686179838434,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.8,-1.47630992669105,4.41211339887562,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"coarse",0.9,-2.93891004873651,5.81579541144361,80,80,"stage_specific_coarse","hidden_h5_severe","H5: severe hidden variable"
"fine",0.42,0.133738585797781,2.86979943606422,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.44,0.0733600529872028,2.91576612595113,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.46,0.0247740195447328,2.96317323981551,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.48,-0.0249639931326049,3.01221160962283,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.5,-0.0765704166099446,3.06309210811264,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.52,-0.130277669503097,3.11605020998369,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.54,-0.19280193989168,3.17975977304203,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.56,-0.260613561704305,3.24706380293532,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
"fine",0.58,-0.331927633392941,3.31784406573461,120,120,"stage_specific_fine","hidden_h5_severe","H5: severe hidden variable"
