"dataset_id","dataset_label","scenario_order","scenario_class","omitted_variable","omitted_confounding_strength","model","method","sensitivity_parameter","sensitivity_value","interval_lower","interval_upper","interval_width","tau_hat","true_ATT","oracle_omitted_IPW_ATT","null_in_interval","null_reached_or_crossed","detection_margin","detection_status"
"hidden_h0_none","H0: no hidden confounding",0,"none","hidden_confounder",0,"MSM","MSM benchmark (bootstrap)","Gamma",1.07537540425787,0.652345018948729,1.16176597181501,0.509420952866278,0.901181756869163,0.9,0.901593663920994,FALSE,FALSE,-0.652345018948729,"not enough confounding at oracle benchmark"
"hidden_h0_none","H0: no hidden confounding",0,"none","hidden_confounder",0,"VBM","VBM benchmark (bootstrap)","R2",0.00940827487498782,0.675398436787428,1.14325157909954,0.467853142312114,0.901181756869163,0.9,0.901593663920994,FALSE,FALSE,-0.675398436787428,"not enough confounding at oracle benchmark"
"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden","hidden_confounder",0.03,"MSM","MSM benchmark (bootstrap)","Gamma",2.63681572676982,0.146981358444143,1.85867421799165,1.7116928595475,0.992354493331319,0.9,0.973740635424041,FALSE,FALSE,-0.146981358444143,"not enough confounding at oracle benchmark"
"hidden_h1_tiny","H1: tiny hidden variable",1,"tiny_hidden","hidden_confounder",0.03,"VBM","VBM benchmark (bootstrap)","R2",0.307198270437418,0.496218102932633,1.54163465682846,1.04541655389583,0.992354493331319,0.9,0.973740635424041,FALSE,FALSE,-0.496218102932633,"not enough confounding at oracle benchmark"
"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden","hidden_confounder",0.06,"MSM","MSM benchmark (bootstrap)","Gamma",4.47221335972579,-0.487735530510184,2.30413395532057,2.79186948583075,0.94078890792357,0.9,0.842370194019162,TRUE,TRUE,0.487735530510184,"overturn detected at oracle benchmark"
"hidden_h2_weak","H2: weak hidden variable",2,"weak_hidden","hidden_confounder",0.06,"VBM","VBM benchmark (bootstrap)","R2",0.406846015022482,0.192338441635369,1.64681803374017,1.4544795921048,0.94078890792357,0.9,0.842370194019162,FALSE,FALSE,-0.192338441635369,"not enough confounding at oracle benchmark"
"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden","hidden_confounder",0.12,"MSM","MSM benchmark (bootstrap)","Gamma",55.2799531903182,-1.20949709069109,4.17602085009646,5.38551794078755,1.2444489096224,0.9,1.13487222093857,TRUE,TRUE,1.20949709069109,"overturn detected at oracle benchmark"
"hidden_h3_moderate","H3: moderate hidden variable",3,"moderate_hidden","hidden_confounder",0.12,"VBM","VBM benchmark (bootstrap)","R2",0.464517205336458,0.453217330860679,2.06956110688073,1.61634377602005,1.2444489096224,0.9,1.13487222093857,FALSE,FALSE,-0.453217330860679,"not enough confounding at oracle benchmark"
"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden","hidden_confounder",0.24,"MSM","MSM benchmark (bootstrap)","Gamma",42.4941456445284,-1.88546165249633,5.81899469939198,7.70445635188831,1.34287027723821,0.9,0.982053427020467,TRUE,TRUE,1.88546165249633,"overturn detected at oracle benchmark"
"hidden_h4_strong","H4: strong hidden variable",4,"strong_hidden","hidden_confounder",0.24,"VBM","VBM benchmark (bootstrap)","R2",0.495799562854233,0.287121984178164,2.32172054828321,2.03459856410505,1.34287027723821,0.9,0.982053427020467,FALSE,FALSE,-0.287121984178164,"not enough confounding at oracle benchmark"
"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden","hidden_confounder",0.36,"MSM","MSM benchmark (bootstrap)","Gamma",84.7548460104563,-2.56546166747119,6.59515974592943,9.16062141340062,1.44429590077606,0.9,0.9402315136704,TRUE,TRUE,2.56546166747119,"overturn detected at oracle benchmark"
"hidden_h5_severe","H5: severe hidden variable",5,"severe_hidden","hidden_confounder",0.36,"VBM","VBM benchmark (bootstrap)","R2",0.485921469059864,-0.0635860793028689,3.15548824931569,3.21907432861855,1.44429590077606,0.9,0.9402315136704,TRUE,TRUE,0.0635860793028689,"overturn detected at oracle benchmark"
