"stage","R2","lower","upper","n_valid","B","bootstrap_pool","scenario"
"coarse",0,0.405158678488754,0.796850822351723,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.1,-0.0536525229355235,1.26985120369725,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.2,-0.308395100789353,1.5339555851673,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.3,-0.545889386449393,1.77902385743372,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.4,-0.800553804387289,2.03548438762712,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.5,-1.09249531891813,2.32626872957745,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.6,-1.45663157600774,2.6824053610621,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.7,-1.93444852503909,3.16219907966914,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.8,-2.6848775373682,3.91041109620579,70,70,"stage_specific_coarse","no_hidden_correct"
"coarse",0.9,-4.32238926640914,5.52054648064961,70,70,"stage_specific_coarse","no_hidden_correct"
"fine",0.02,0.213254214337724,1.02484847509108,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.04,0.107050888220023,1.12641070828145,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.06,0.02943487788963,1.21017628203473,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.08,-0.0391124091457577,1.28309495671591,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.1,-0.103165078013948,1.34443381086412,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.12,-0.165874067863766,1.40155068008759,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.14,-0.225543111351716,1.45589869241808,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.16,-0.283055042055877,1.50828195409532,100,100,"stage_specific_fine","no_hidden_correct"
"fine",0.18,-0.339036840119543,1.55927153384385,100,100,"stage_specific_fine","no_hidden_correct"
"coarse",0,1.08342072488669,1.4450235773029,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.1,0.614896480846687,1.94030174231938,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.2,0.329813103873792,2.20544519523618,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.3,0.0643490095958302,2.47772216263041,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.4,-0.229046117976696,2.75880496548023,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.5,-0.566403931315347,3.09519578368894,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.6,-0.979581183025742,3.50288727973016,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.7,-1.53622105805223,4.03923761159477,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.8,-2.40337806630819,4.87618753325821,70,70,"stage_specific_coarse","hidden_correct"
"coarse",0.9,-4.22634732655723,6.64760471303634,70,70,"stage_specific_coarse","hidden_correct"
"fine",0.32,-0.00872125093448037,2.58748717288563,100,100,"stage_specific_fine","hidden_correct"
"fine",0.34,-0.0627183911836182,2.64152079849205,100,100,"stage_specific_fine","hidden_correct"
"fine",0.36,-0.117588459432448,2.69642794192736,100,100,"stage_specific_fine","hidden_correct"
"fine",0.38,-0.173718044250642,2.75239363018956,100,100,"stage_specific_fine","hidden_correct"
"fine",0.4,-0.231174389679124,2.80960838142957,100,100,"stage_specific_fine","hidden_correct"
"fine",0.42,-0.290085539068864,2.8682718194269,100,100,"stage_specific_fine","hidden_correct"
"fine",0.44,-0.350664825183452,2.92859637991705,100,100,"stage_specific_fine","hidden_correct"
"fine",0.46,-0.413142439336709,2.99081128629841,100,100,"stage_specific_fine","hidden_correct"
