"observed_strength","hidden_strength","n_replicates","flag_rate","observed_strength_median","observed_strength_q05","observed_strength_q95","ps_observed_min_median","ps_observed_min_q05","ps_observed_min_q95","ps_observed_max_median","ps_observed_max_q05","ps_observed_max_q95","ps_observed_iqr_median","ps_observed_iqr_q05","ps_observed_iqr_q95","weight_cv_control_median","weight_cv_control_q05","weight_cv_control_q95","var_observed_control_median","var_observed_control_q05","var_observed_control_q95","var_ideal_control_median","var_ideal_control_q05","var_ideal_control_q95","epsilon_added_to_denominator_median","epsilon_added_to_denominator_q05","epsilon_added_to_denominator_q95","original_variance_ratio_median","original_variance_ratio_q05","original_variance_ratio_q95","stabilized_variance_ratio_median","stabilized_variance_ratio_q05","stabilized_variance_ratio_q95","original_R2_median","original_R2_q05","original_R2_q95","stabilized_R2_median","stabilized_R2_q05","stabilized_R2_q95","tau_observed_median","tau_observed_q05","tau_observed_q95","tau_ideal_median","tau_ideal_q05","tau_ideal_q95","tau_gap_observed_minus_ideal_median","tau_gap_observed_minus_ideal_q05","tau_gap_observed_minus_ideal_q95","original_bound_median","original_bound_q05","original_bound_q95","stabilized_bound_median","stabilized_bound_q05","stabilized_bound_q95"
0,0.03,35,1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.000879688463048932,0.000768381573780628,0.000999001969602671,9.73685364676988e-05,8.34803538925078e-05,0.000116068558643833,Inf,Inf,Inf,9.05150422012522,8.26487472195272,10.0899634118452,0.999999999999,0.999999999999,0.999999999999,0.88952112536427,0.879005861320961,0.900890195942859,0.0187488793629751,-0.0595192308560593,0.118358058209302,-0.00563851167553509,-0.0818103742015876,0.0953462081267994,0.0227201894627298,0.019479227571846,0.0251356823415375,NA,NA,NA,0.0360003722995191,0.0330628507051002,0.0398602207682524
0.001,0.03,35,1,0.001,0.001,0.001,0.499168369711528,0.499023608293301,0.499277069625055,0.500832691386019,0.500749002706824,0.50098888987994,0.000337048276654095,0.000315878146788867,0.000352742690980612,0.00100161947169823,0.000966520102593525,0.00102683272783997,1.01034645174224e-06,8.67249580568721e-07,1.14787997190813e-06,0.000902355514442296,0.000752293854540874,0.00107129211095679,9.95519956346695e-05,8.56247968871994e-05,0.000113663196544669,907.001324311289,824.698430062467,999.660274085925,8.95508948762783,8.32778671522308,9.74592849099907,0.998897465777396,0.998787431346772,0.998999631368551,0.888331657502521,0.879911168180983,0.897393004668584,0.0309247876971321,-0.0601812711178322,0.124202300895809,0.00775713592144367,-0.0818344208897004,0.100579680507668,0.0224281219683341,0.020526047193033,0.025093566954137,0.0377042764641741,0.033916981892172,0.0410044418317399,0.035570172144754,0.0319501309572811,0.0386474703113216
0.002,0.03,35,1,0.002,0.002,0.002,0.498325999130863,0.498037435182247,0.498518633069286,0.501714512869649,0.501490564046347,0.501940011739097,0.000676076110005641,0.000644056212433636,0.000703671047281357,0.00199599152530347,0.00193888970041954,0.00206290041271395,3.95924573749618e-06,3.20838427631079e-06,4.82409273741986e-06,0.000904078502168786,0.000732147108321491,0.00104267229840697,0.000101334320972836,8.23130654254738e-05,0.000116640819665297,223.454092766511,207.675743579907,245.137872423394,8.70702339370555,8.03516812061054,9.22741902371933,0.995524807858208,0.995184765636451,0.995919917502348,0.885150187982392,0.875528638663872,0.891626872769771,0.0244317327067662,-0.0663177522615031,0.114495227133943,0.0028171159710213,-0.0900035615878372,0.0921644593987203,0.0225781693457378,0.0207983689131396,0.0240644583378225,0.0376408598217327,0.0335488280010856,0.0412248341358555,0.0354926594103138,0.0315874666001913,0.0389542811460008
0.005,0.03,35,1,0.005,0.005,0.005,0.495689471999078,0.494608639168524,0.496204476612015,0.504237592667556,0.503753347160037,0.505014956176994,0.0016921952575204,0.0016384698454282,0.00179487575524213,0.00502348326877586,0.00482518244077825,0.00518525610234383,2.43947593987353e-05,2.14075738407408e-05,2.82680215698376e-05,0.000911562636720685,0.000777944863880382,0.00105776150707854,9.87399493278667e-05,8.59659081541914e-05,0.000109233953180825,36.9263353489943,33.4897494153635,41.1548359884743,7.43218450751962,6.93450705531378,7.94105660503515,0.972919056533802,0.970140116973651,0.975701480185483,0.86545005724922,0.855782098473132,0.874072170737266,0.0137698418956159,-0.102197223692572,0.126263402804215,-0.00671575999752971,-0.124870260938526,0.10258332993056,0.0224437133660809,0.020371447760823,0.0250769734975318,0.0371316582522695,0.0344642368206484,0.0402778697870433,0.0351076933780281,0.0323809319303452,0.0380323318178847
0.01,0.03,35,1,0.01,0.01,0.01,0.491813941976281,0.489940745162216,0.492601091845155,0.508404355174012,0.507719146963373,0.509706403713625,0.0033915096585192,0.00321482922730697,0.00349451174254837,0.00991325687223609,0.00972218434273275,0.0104146636019116,0.000101967015582972,8.46749462724397e-05,0.000114574316064948,0.00100012298977521,0.000849209234915211,0.00115258679930395,0.000102610689279362,8.46879395211717e-05,0.000113693886358425,9.93874704837946,9.20607349475135,10.8193848771569,4.9016045591159,4.70441081639313,5.31760310988699,0.899383695436433,0.891370859248158,0.907573124544067,0.795985174254781,0.787433519576163,0.811937261036535,0.0196965444802275,-0.0730739807597038,0.100576503237952,-0.00314369216115029,-0.0951596202454284,0.077884230039134,0.0219922252363409,0.0202584797363785,0.0248534898441387,0.0375598498453771,0.0335962571576649,0.0400707933597096,0.0353638733853551,0.0316156870797182,0.0379574018078872
0.02,0.03,35,0.428571428571429,0.02,0.02,0.02,0.483316503922006,0.480683094870926,0.485320173917223,0.516962007312632,0.514237279901799,0.518964418386677,0.00675539673407688,0.00650025472529033,0.0070944606233333,0.0200306233387737,0.0194483490213258,0.0207957720851036,0.000393352555583024,0.000343940839611744,0.000455006366062044,0.00127029191253753,0.0011256129253308,0.00145308784193298,9.76167219574154e-05,8.7764378577549e-05,0.000114739493470928,3.19968799381085,3.02606989495268,3.50375148967067,2.56080533969095,2.43313587766968,2.78233681137661,0.687469527674481,0.669536402758799,0.714588952410933,0.609497846438932,0.589006855293007,0.640589717388718,0.0273321511707643,-0.059044715451141,0.142945562239415,0.00622214854070413,-0.0825258645649934,0.120998308332091,0.0221566462503202,0.0196675824247017,0.0249745104643389,0.0367437728553225,0.034562352256515,0.0402658029354821,0.0343587153666875,0.0325615203703818,0.0381218568046476
0.05,0.03,35,0,0.05,0.05,0.05,0.458415919678178,0.453013034543288,0.462139282260449,0.541207180533713,0.535345185627895,0.54968012526166,0.016733486023627,0.0162094932762309,0.017617167087049,0.0496298763860162,0.0481004465222457,0.0513803045696856,0.00249956996045179,0.00210946549004641,0.00290078896850277,0.00338299280184713,0.00290019889808093,0.0040483792395428,0.000101770462200125,8.82566665452764e-05,0.000118075827373707,1.36237487387037,1.28639054158144,1.42887035541651,1.30921345461365,1.23638283574285,1.37324532241911,0.265987637338687,0.222579174592317,0.30014594910052,0.23618261294519,0.191146355949724,0.27179689822247,0.0256680933103596,-0.0819825475420208,0.130299568325761,0.00383144722979833,-0.103714367343543,0.108097006853873,0.0219504378526076,0.0198174526866373,0.0243090390605396,0.0373452908332931,0.0326402733538158,0.0418103420745223,0.035205862612345,0.0301833158865603,0.0395974271407776
0.1,0.03,35,0,0.1,0.1,0.1,0.41596551467816,0.4077192554703,0.42457238659639,0.582952639112749,0.575394945036064,0.604425987896712,0.0335325973940632,0.0319501937772719,0.0347174156226096,0.100693301285392,0.0970308896504625,0.103657028322748,0.0100321143192409,0.00876898401559599,0.0118595220671438,0.0110856157765133,0.00962150044341293,0.0130426252122805,9.95071144697485e-05,9.02058423944949e-05,0.000115836594475886,1.09340746344675,1.05289765001505,1.12410034682344,1.08348746673721,1.04261722260128,1.11249644335341,0.0854278634172698,0.0502299937530538,0.110397817145264,0.0770543908446155,0.0408638200417018,0.101117693370604,0.0307087003301389,-0.0579454498173409,0.101555937241533,0.00861920808925665,-0.0805226678274135,0.0782495007436702,0.0222758097111799,0.0192413033928315,0.0254661076254265,0.0373272840333165,0.0279210577055228,0.0443858564850789,0.0352577420950106,0.0251674588491521,0.0423707357164669
0.2,0.03,35,0,0.2,0.2,0.2,0.330911686029321,0.311274369795262,0.353289193827535,0.659297837180531,0.641413180695462,0.686864001400148,0.0675116386651862,0.0643426271799019,0.0694621574149346,0.200175300497948,0.19330082121337,0.207636839002045,0.0395942853512267,0.03369363471177,0.0482952873578136,0.0407145149201238,0.0348335762082264,0.0496521633034098,9.83289780175295e-05,8.48239365337579e-05,0.000118642979080589,1.02213621390079,1.00773855536516,1.03982246678268,1.01977163524465,1.00525220488155,1.03736232245084,0.0216568140329495,0.00767048245382932,0.0382972854778307,0.0193882969101303,0.0052162934087231,0.0360165744921926,0.0172042000030551,-0.0398240114712817,0.11616465350984,-0.00617993148490892,-0.0628148671486153,0.093727811006764,0.0224114534458264,0.0200387744722502,0.0262626515802986,0.0371011269376813,0.0245844799750545,0.0499119815337981,0.0349310350420748,0.0212932679456927,0.0483077968992066
0.4,0.03,35,0,0.4,0.4,0.4,0.205462141910572,0.154468668044467,0.229696453060807,0.794217474081719,0.76354933649159,0.839312306759958,0.133164687571429,0.128873009573238,0.136657294584801,0.410551513162821,0.383613428235831,0.424617316520514,0.164563132746099,0.133264538442038,0.194240692952961,0.167494987884306,0.134587517948012,0.196292648633169,0.000100299720239281,8.40972081152691e-05,0.000113410417609201,1.00513859564772,0.99351860652144,1.0180802051113,1.00454783747347,0.992950885700107,1.01745037073281,0.00511232547429097,0,0.0177589623292724,0.00452724828407092,0,0.0171509186878148,0.0200353885333513,-0.0871231111235819,0.124135973717243,-0.00313821787252833,-0.111328674375268,0.102478385442581,0.0222937039151478,0.0194826763982242,0.0254349409886179,0.0419134283238024,0.0176970452284452,0.0732487045057393,0.039949119221286,0.0129717933204552,0.072026193761943
