"sample_size","observed_strength","n_replicates","flag_rate","var_observed_control_median","original_variance_ratio_median","stabilized_variance_ratio_median","ps_observed_iqr_median","weight_cv_control_median"
300,0,30,1,0,NA,141.691011480706,0,0
300,0.002,30,1,4.07158217490993e-06,3629.73294399504,132.688172842017,0.000681372182557483,0.0020159182217718
300,0.01,30,1,0.000107769468573703,130.585285167676,68.7219960537831,0.00346545982215948,0.0102036196498196
300,0.05,30,0,0.0025974747719189,7.14071461363853,6.83334740608982,0.0168090452722484,0.0488881567748915
300,0.2,30,0,0.0407000276097937,1.33928729944322,1.33626579823613,0.06751499414454,0.198593057128446
600,0,30,1,0,NA,141.789052234644,0,0
600,0.002,30,1,3.96611423018571e-06,3841.3298332687,137.210734009469,0.000663227953521361,0.00196571904998422
600,0.01,30,1,9.40458307006619e-05,145.141290911838,71.3169765901199,0.00338767375517696,0.0101302954453222
600,0.05,30,0,0.00261362220258581,6.6582632366232,6.40512167418613,0.0166849820886479,0.0503945593902151
600,0.2,30,0,0.0408016507388757,1.38221232745311,1.37900005496446,0.0675567966612008,0.202003667913129
1200,0,30,1,0,NA,142.934614910601,0,0
1200,0.002,30,1,3.88792063524743e-06,3639.37206778818,137.974462082406,0.000667188433296717,0.00200445065774272
1200,0.01,30,1,0.000100407677325658,146.963564573257,73.2586730238291,0.00331669368706769,0.00994364732378849
1200,0.05,30,0,0.00256005451684191,6.76810320946882,6.50114140061973,0.016908306250448,0.0499134471191949
1200,0.2,30,0,0.038150046610433,1.35536716827243,1.35176182659402,0.067197172404535,0.20060351056926
1800,0,30,1,0,NA,142.602440892021,0,0
1800,0.002,30,1,4.01193172113462e-06,3680.09361955032,139.766808388363,0.000674337198772801,0.00198060915811611
1800,0.01,30,1,9.93594555108691e-05,144.608844796975,72.0428218853834,0.00337209969576005,0.00994403941817969
1800,0.05,30,0,0.00243158612766687,6.9026269800688,6.63970498749564,0.0169446033449803,0.0499206734688295
1800,0.2,30,0,0.0394411873684461,1.37829941640012,1.37500730246052,0.0673275665790871,0.199610281411605
3000,0,30,1,0,NA,146.710830747703,0,0
3000,0.002,30,1,3.87183091039853e-06,3671.54021189693,138.109876545383,0.000670881570067783,0.00198845593922622
3000,0.01,30,1,0.000100975454577456,145.728805592712,72.9029436837325,0.00338070480403241,0.010054905278622
3000,0.05,30,0,0.00251354522407881,6.85648927875278,6.58840124993506,0.0169278012941393,0.0500038223457215
3000,0.2,30,0,0.0397732038244819,1.35673373628216,1.35337129015355,0.0676648306830342,0.201028192438764
