"method","bound_type","stage","T","lower","upper","n_valid","B_requested","required_valid","bootstrap_pool"
"RGM-sharp","finite_sample_sharp","coarse",0,1.92291464145235,2.26887306312989,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.05,1.66089892498567,2.48201797857832,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.1,1.39888320851898,2.65284768459978,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.15,1.1368674920523,2.79276490865039,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.2,0.874851775585612,2.91398085511574,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.25,0.639389446963069,3.01651267242445,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.3,0.412448971846968,3.11286975203343,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.35,0.192096567741269,3.20343376586268,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.4,-0.0180454819506104,3.28463555386219,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.45,-0.224165790457114,3.36005447831855,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.5,-0.423048283921984,3.43269869231245,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.55,-0.622390518505005,3.49719038197547,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.6,-0.813624093521157,3.55164108915721,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.65,-0.988918903628627,3.60395358894129,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.7,-1.15029362008984,3.64486130032787,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.75,-1.30603477938668,3.67391626439899,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.8,-1.44939912289383,3.67452300912944,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.85,-1.5751494256405,3.67990779931796,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.9,-1.68072695693412,3.67990779931796,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",0.95,-1.77179333443678,3.67990779931796,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","coarse",1,-1.81312710731592,3.67990779931796,120,120,72,"rgm_sharp_stage_coarse"
"RGM-sharp","finite_sample_sharp","fine",0.35,0.18046920901195,3.2490417674135,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.355,0.158959038269945,3.25721099210364,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.36,0.137650176915946,3.26538021679377,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.365,0.116415327617608,3.2735494414839,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.37,0.0953046919161247,3.28164904640567,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.375,0.074201252620541,3.28965020937727,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.38,0.0531941437756551,3.2976376195785,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.385,0.0323511489856183,3.30562502977974,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.39,0.0117240590188121,3.31356878308784,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.395,-0.0088775124559776,3.32139372816156,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.4,-0.0295010223992176,3.32919730293393,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.405,-0.0499884558549576,3.3370008777063,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.41,-0.070380548802056,3.34480445247868,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.415,-0.0908359781107802,3.35250084598892,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.42,-0.111600996332381,3.36018111049012,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.425,-0.132175742312805,3.36780163905435,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.43,-0.152518394071244,3.37528104299755,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.435,-0.172857958127459,3.38263813946102,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.44,-0.193137977697934,3.38986918939651,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.445,-0.213390478736319,3.39701047191973,180,180,108,"rgm_sharp_stage_fine"
"RGM-sharp","finite_sample_sharp","fine",0.45,-0.233642979774704,3.40399039580403,180,180,108,"rgm_sharp_stage_fine"
