"method","bound_type","T","lower","upper","tau_hat","treated_mean","observed_control_mean","control_mean_min","control_mean_max","max_gain","min_gain","moved_mass_max","moved_mass_min","n_treated","n_control","status"
"RGM-sharp","finite_sample_sharp",0,2.09257902777209,2.09257902777209,2.09257902777209,1.22218794901373,-0.870391078758363,-0.870391078758363,-0.870391078758363,0,0,0,0,234,873,"T_equals_0_or_single_support_point | T_equals_0_or_single_support_point"
"RGM-sharp","finite_sample_sharp",0.05,1.8305633113054,2.31382628676481,2.09257902777209,1.22218794901373,-0.870391078758363,-1.09163833775109,-0.608375362291677,0.262015716466685,0.221247258992725,0.05,0.05,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.1,1.56854759483872,2.48560201853412,2.09257902777209,1.22218794901373,-0.870391078758363,-1.2634140695204,-0.346359645824992,0.524031432933371,0.393022990762035,0.1,0.1,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.15,1.30653187837203,2.63240822926445,2.09257902777209,1.22218794901373,-0.870391078758363,-1.41022028025073,-0.0843439293583064,0.786047149400056,0.539829201492365,0.15,0.15,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.2,1.04451616190535,2.75708598913688,2.09257902777209,1.22218794901373,-0.870391078758363,-1.53489804012316,0.17767178710838,1.04806286586674,0.664506961364795,0.2,0.2,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.25,0.799354139338697,2.86711170092132,2.09257902777209,1.22218794901373,-0.870391078758363,-1.6449237519076,0.422833809675029,1.29322488843339,0.774532673149233,0.25,0.25,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.3,0.571019193323738,2.96948966073923,2.09257902777209,1.22218794901373,-0.870391078758363,-1.7473017117255,0.651168755689988,1.52155983444835,0.87691063296714,0.3,0.3,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.35,0.348070766186993,3.06255986208008,2.09257902777209,1.22218794901373,-0.870391078758363,-1.84037191306636,0.874117182826734,1.7445082615851,0.969980834307995,0.35,0.35,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.355,0.326306820894032,3.07117219220244,2.09257902777209,1.22218794901373,-0.870391078758363,-1.84898424318871,0.895881128119694,1.76627220687806,0.97859316443035,0.355,0.355,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.36,0.304542875601072,3.07970708494135,2.09257902777209,1.22218794901373,-0.870391078758363,-1.85751913592762,0.917645073412655,1.78803615217102,0.987128057169262,0.36,0.36,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
"RGM-sharp","finite_sample_sharp",0.365,0.282778930308111,3.08819138322413,2.09257902777209,1.22218794901373,-0.870391078758363,-1.8660034342104,0.939409018705616,1.80980009746398,0.995612355452036,0.365,0.365,234,873,"sharp_greedy_transport_solution | sharp_greedy_transport_solution"
