"stage","R2","lower","upper","n_valid","B","bootstrap_pool"
"coarse",0,1.86546956621317,2.3145027611532,120,120,"stage_specific_coarse"
"coarse",0.05,1.54069646358377,2.73631212980342,120,120,"stage_specific_coarse"
"coarse",0.1,1.3213754085132,2.91440781323399,120,120,"stage_specific_coarse"
"coarse",0.15,1.16423577218669,3.06267233831889,120,120,"stage_specific_coarse"
"coarse",0.2,1.00594608725046,3.22125332431681,120,120,"stage_specific_coarse"
"coarse",0.25,0.822245550721662,3.35275156973877,120,120,"stage_specific_coarse"
"coarse",0.3,0.638656321062883,3.48417013843039,120,120,"stage_specific_coarse"
"coarse",0.35,0.450691748201103,3.61872070643559,120,120,"stage_specific_coarse"
"coarse",0.4,0.254292701488847,3.76563930774557,120,120,"stage_specific_coarse"
"coarse",0.45,0.0452109816131986,3.93307308596683,120,120,"stage_specific_coarse"
"coarse",0.5,-0.181512847627037,4.11527791428018,120,120,"stage_specific_coarse"
"coarse",0.55,-0.432111376393585,4.32153009713982,120,120,"stage_specific_coarse"
"coarse",0.6,-0.703103748978107,4.56518655272084,120,120,"stage_specific_coarse"
"coarse",0.65,-0.992849905981628,4.84731624956191,120,120,"stage_specific_coarse"
"coarse",0.7,-1.33836016256465,5.18408221346629,120,120,"stage_specific_coarse"
"coarse",0.75,-1.76727405452027,5.60214100478819,120,120,"stage_specific_coarse"
"coarse",0.8,-2.32919463807935,6.14984030851209,120,120,"stage_specific_coarse"
"coarse",0.85,-3.12709730865447,6.92754938324559,120,120,"stage_specific_coarse"
"coarse",0.9,-4.42631080574058,8.19388193727979,120,120,"stage_specific_coarse"
"coarse",0.95,-7.27607975045748,11.0078862340097,120,120,"stage_specific_coarse"
"fine",0.45,0.18459997871179,3.96103526594296,180,180,"stage_specific_fine"
"fine",0.46,0.146849739136435,3.99494471712525,180,180,"stage_specific_fine"
"fine",0.47,0.108455715070211,4.02943245281674,180,180,"stage_specific_fine"
"fine",0.48,0.069377411802983,4.06453484771099,180,180,"stage_specific_fine"
"fine",0.49,0.029572150117868,4.10029023875202,180,180,"stage_specific_fine"
"fine",0.5,-0.011005167173014,4.13673913484543,180,180,"stage_specific_fine"
"fine",0.51,-0.0524023110666006,4.17392444666692,180,180,"stage_specific_fine"
"fine",0.52,-0.0934857353542802,4.21189173961715,180,180,"stage_specific_fine"
"fine",0.53,-0.134160496330589,4.2506895134099,180,180,"stage_specific_fine"
"fine",0.54,-0.175760163343794,4.29036951230582,180,180,"stage_specific_fine"
"fine",0.55,-0.218342747726918,4.33098707063318,180,180,"stage_specific_fine"
